,RUN,N_COMPONENTS,TOPICS_THRESHOLD,NEIGHBORS,QUANTILE_THRESHOLD,orig_avg_accuracy,nmf_avg_accuracy,lda_avg_accuracy,lda_w2v_avg_accuracy,nmf_avg_tags_number_accuracy,lda_avg_tags_number_accuracy,lda_w2v_avg_tags_number_accuracy,nmf_global_accuracy,lda_global_accuracy,lda_global_avg_accuracy,orig_med_accuracy,nmf_med_accuracy,lda_med_accuracy,lda_w2v_med_accuracy,orig_avg_tags_number,nmf_avg_tags_number,lda_avg_tags_number,lda_w2v_avg_tags_number,orig_med_tags_number,nmf_med_tags_number,lda_med_tags_number,lda_w2v_med_tags_number
0,0,10,0.05,5,0.75,0.5321383647798742,0.5988301886792452,0.5675723270440252,0.694062893081761,0.5139891174413015,0.5146692886272026,0.4845796201797059,0.5705498315999306,0.5499379809050843,0.6242351354477426,0.5321383647798742,0.5988301886792452,0.5675723270440252,0.694062893081761,2.1192452830188677,8.488301886792453,7.202264150943396,10.054339622641509,2.0,8.0,7.0,9.0
1,1,10,0.05,5,0.8,0.5321383647798742,0.5936100628930817,0.566503144654088,0.678943396226415,0.5284749368993691,0.5170450740324193,0.5075512239470943,0.5718983542285109,0.5500171211135317,0.621812672133308,0.5321383647798742,0.5936100628930817,0.566503144654088,0.678943396226415,2.1192452830188677,7.790188679245283,7.038490566037736,8.775094339622642,2.0,7.0,7.0,8.0
2,2,10,0.05,10,0.75,0.5321383647798742,0.6193459119496856,0.6049308176100628,0.7178616352201258,0.46760497199876494,0.4622717252053301,0.44614543908545184,0.568765598632712,0.5573777868084853,0.6272895698419011,0.5321383647798742,0.6193459119496856,0.6049308176100628,0.7178616352201258,2.1192452830188677,11.935849056603773,11.448301886792454,14.555471698113207,2.0,11.0,11.0,14.0
3,3,10,0.05,10,0.8,0.5321383647798742,0.6110440251572327,0.6028553459119497,0.7022264150943397,0.48332014850947985,0.4659554039317169,0.4605676047432226,0.5684693996079817,0.5572220319185387,0.621673478310634,0.5321383647798742,0.6110440251572327,0.6028553459119497,0.7022264150943397,2.1192452830188677,10.407547169811322,11.02188679245283,12.405283018867925,2.0,10.0,11.0,12.0
4,4,10,0.05,15,0.75,0.5321383647798742,0.6352830188679245,0.6194968553459119,0.7326037735849056,0.44631945073040163,0.4344412763243191,0.4304663841956292,0.5722951628220835,0.5578116623387143,0.6318913104551468,0.5321383647798742,0.6352830188679245,0.6194968553459119,0.7326037735849056,2.1192452830188677,14.52377358490566,15.326792452830189,17.677735849056603,2.0,14.0,16.0,17.0
5,5,10,0.05,15,0.8,0.5321383647798742,0.6243144654088051,0.6167295597484277,0.7176100628930817,0.4581622640978755,0.4383658436870797,0.44242669897464754,0.5689303983051619,0.5572749877279783,0.6258822749202703,0.5321383647798742,0.6243144654088051,0.6167295597484277,0.7176100628930817,2.1192452830188677,12.644528301886792,14.716981132075471,14.862641509433962,2.0,12.0,16.0,14.0
6,6,10,0.05,20,0.75,0.5321383647798742,0.6538993710691825,0.6475597484276729,0.7418238993710692,0.43075282459535014,0.4180886811524031,0.42147793662310057,0.5795171889112384,0.5710693926692497,0.635041911788413,0.5321383647798742,0.6538993710691825,0.6475597484276729,0.7418238993710692,2.1192452830188677,16.969811320754715,19.476226415094338,19.93433962264151,2.0,16.0,21.0,19.0
7,7,10,0.05,20,0.8,0.5321383647798742,0.6444025157232703,0.6452704402515723,0.7264779874213836,0.44134344382720503,0.42077812090936123,0.43000166710235804,0.5767161584245819,0.5704396671375019,0.6276525473150417,0.5321383647798742,0.6444025157232703,0.6452704402515723,0.7264779874213836,2.1192452830188677,14.593207547169811,18.521509433962265,16.804528301886794,2.0,14.0,20.0,16.0
8,8,10,0.1,5,0.75,0.5321383647798742,0.596880503144654,0.5622264150943397,0.6640754716981132,0.5314473358923016,0.5326985232082045,0.5114540790001076,0.5750694473938699,0.552383784465628,0.6132016741321114,0.5321383647798742,0.596880503144654,0.5622264150943397,0.6640754716981132,2.1192452830188677,7.553962264150943,6.673962264150943,8.344150943396226,2.0,7.0,7.0,8.0
9,9,10,0.1,5,0.8,0.5321383647798742,0.5875723270440252,0.5614716981132076,0.6480754716981132,0.5473090915236852,0.5352096324955914,0.5342358765973461,0.5741512485372452,0.5527176762406688,0.6101289399978574,0.5321383647798742,0.5875723270440252,0.5614716981132076,0.6480754716981132,2.1192452830188677,6.957735849056604,6.53811320754717,7.313207547169811,2.0,7.0,7.0,7.0
